# U0 [m]	V0 [m]	Ecart [m]	Altitude [m]
-141.8785313	168.1282425	0.98352702	96
-142.6011557	168.9066224	1.062102319	96
-143.3237823	169.5738075	0.983526904	96
-144.0464088	170.2409927	0.983526851	96
-144.6887393	171.0193711	1.009188502	96
-145.4113655	171.6865565	0.983526735	96
-146.133989	172.4649368	1.062102056	96
-146.8566149	173.1321223	0.983526621	96
-147.4989473	173.799306	0.926134455	96
-148.3018662	174.4664935	1.043943444	96
-149.1047875	175.022486	0.976632156	96
-149.9077062	175.6896737	1.04394333	96
-150.7909206	176.2456683	1.04364631	96
-151.5938414	176.8016611	0.976631979	96
-152.3967622	177.3576541	0.976631924	96
-153.1996802	178.0248421	1.043943114	96
-153.9223073	178.5808335	0.911765496	96
-154.7252277	179.1368267	0.976631747	96
-155.5281453	179.804015	1.043942948	96
-156.3310653	180.3600085	0.976631626	96
-157.1339852	180.916002	0.97663157	96
-157.9369024	181.5831906	1.043942783	96
-158.739822	182.1391844	0.976631449	96
-159.6230348	182.6951801	1.043645586	96
-160.5062528	183.0287862	0.944122352	96
-161.389468	183.4735873	0.988896915	96
-162.3529763	183.9183904	1.061224856	96
-163.2361913	184.3631917	0.988896808	96
-164.1194062	184.8079932	0.988896756	96
-165.0829169	185.1416018	1.019631138	96
-165.9661315	185.5864035	0.988896664	96
-166.849346	186.0312053	0.988896611	96
-167.8128536	186.4760093	1.06122452	96
-168.6960707	186.8096164	0.944121883	96
-169.5792849	187.2544186	0.988896466	96
-170.4624989	187.6992208	0.988896413	96
-171.4260061	188.1440253	1.061224301	96
-172.3092227	188.4776329	0.944121676	96
-173.1924364	188.9224356	0.988896268	96
-174.2362393	189.2560476	1.095819993	96
-175.1997518	189.4784628	0.988850278	96
-176.1632643	189.7008781	0.988850246	96
-177.1267767	189.9232935	0.988850215	96
-178.090289	190.1457091	0.988850184	96
-179.0538012	190.3681248	0.988850153	96
-180.0173134	190.5905407	0.988850121	96
-180.9808225	190.9241516	1.019630346	96
-181.9443346	191.1465678	0.988850042	96.1
-182.9078466	191.3689841	0.988850011	96.1
-183.8713585	191.5914005	0.98884998	96.1
-184.8348703	191.8138171	0.988849948	96.1
-185.798379	192.1474287	1.019630179	96.1
-186.8421901	192.1474579	1.043811118	96.2
-187.8057144	191.9250952	0.988849902	96.2
-188.7692355	191.8139276	0.969913006	96.2
-189.7327567	191.7027601	0.969913022	96.2
-190.7765711	191.591595	1.049717165	96.2
-191.7400955	191.3692329	0.98884998	96.3
-192.7036168	191.2580658	0.969913086	96.3
-193.7474313	191.1469012	1.049717234	96.3
-194.7109559	190.9245395	0.988850043	96.3
-195.6744773	190.8133728	0.96991315	96.4
-196.7182919	190.7022087	1.049717303	96.4
-197.6818134	190.5910423	0.969913182	96.4
-198.6453382	190.3686812	0.988850121	96.4
-200.4920949	189.9239569	1.899549898	96.5
-201.4556233	189.5904012	1.019630484	96.5
-202.4191517	189.2568457	1.019630529	96.5
-203.3023871	188.9232879	0.944121579	96.6
-204.2659158	188.5897326	1.01963062	96.6
-205.2294445	188.2561775	1.019630666	96.6
-206.1929734	187.9226225	1.019630712	96.7
-207.0762091	187.5890652	0.944121745	96.7
-208.0397382	187.2555105	1.019630803	96.7
-209.0032673	186.9219559	1.019630849	96.7
-209.8865034	186.588399	0.94412187	96.8
-210.8500327	186.2548447	1.01963094	96.8
-211.8135621	185.9212905	1.019630986	96.8
-212.6967984	185.5877339	0.944121993	96.8
-213.660328	185.25418	1.019631077	96.8
-214.6238578	184.9206263	1.019631123	96.9
-215.5070943	184.5870701	0.944122118	96.9
-216.4706242	184.2535166	1.019631214	96.9
-217.4341542	183.9199632	1.01963126	96.9
